State;House_id;Weight;House_relation;Sex;Age;Race;Marriage;Education;Ancestry;Language;Employment_status;Traveltime;Industry;Occupation;Hours;Weeks;Salary;Income;Earnings
Arizona;3560201;0040;01;1;34;8;1;09;290;1;1;030;688;516;52;40;016800;0016800;0016800
Arizona;3560201;0042;02;2;34;8;1;09;291;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3560201;0038;03;1;11;8;5;02;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3560201;0037;03;1;09;8;5;02;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3562541;0016;01;1;38;2;1;10;999;0;1;025;859;443;52;40;025000;0025000;0025000
Arizona;3562541;0019;02;2;61;2;1;13;999;0;6;000;847;023;42;60;000000;0003000;0003000
Arizona;3566843;0024;01;1;31;8;1;06;210;1;6;000;779;913;50;48;021600;0021600;0021600
Arizona;3566843;0021;02;2;30;8;1;11;210;1;6;000;687;080;36;40;015600;0015600;0015600
Arizona;3566843;0024;03;2;04;8;5;01;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3566843;0032;03;1;02;8;5;00;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3575082;0035;01;2;30;1;3;09;924;0;1;045;866;514;32;40;015000;0016300;0015000
Arizona;3575082;0037;03;2;10;3;5;01;917;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3575082;0040;03;1;07;3;5;01;917;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3579919;0026;01;2;57;1;2;11;999;1;6;000;000;000;00;00;000000;0000510;0000000
Arizona;3579919;0019;18;1;43;8;1;12;210;1;3;000;637;554;00;00;000000;0000000;0000000
Arizona;3585153;0016;01;2;69;1;2;09;210;4;6;000;000;000;00;00;000000;0013000;0000000
Arizona;3586593;0024;01;1;34;8;3;10;210;1;4;015;987;703;52;40;039000;0039000;0039000
Arizona;3586593;0029;03;1;13;3;5;04;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3586593;0026;03;1;12;3;5;03;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3588096;0019;01;1;59;1;3;08;026;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3590104;0029;01;1;55;1;1;07;022;0;6;000;077;022;26;20;003000;0009500;0003000
Arizona;3590104;0019;02;2;50;1;1;10;918;0;1;005;759;494;52;40;017000;0017000;0017000
Arizona;3590104;0039;03;1;09;1;5;02;918;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3592380;0040;23;2;18;1;5;11;032;0;1;025;917;581;20;18;002000;0002020;0002000
Arizona;3594459;0021;01;1;26;6;5;14;782;1;1;010;787;170;50;50;021600;0021600;0021600
Arizona;3598029;0073;23;1;45;1;5;12;999;0;3;000;077;642;25;30;000000;0005000;0005000
Arizona;3599084;0014;01;1;50;1;1;10;998;0;1;009;877;720;49;45;000000;0012000;0012000
Arizona;3599084;0016;02;2;43;1;1;14;032;0;1;000;856;260;10;12;004000;0013100;0012900
Arizona;3599574;0016;01;1;31;1;1;06;210;1;6;000;538;421;52;40;026000;0026000;0026000
Arizona;3599574;0018;02;2;28;1;1;04;210;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3599574;0016;03;1;08;1;5;02;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3599574;0016;03;1;05;1;5;01;210;2;0;000;000;000;00;00;000000;0000000;0000000
